开始时间,SQL 语句,数据库,User来源,IP来源,执行时间（s）,锁时间（s）,扫描行数,返回行数
"2023-10-28 21:19:26","SELECT
            GROUP_CONCAT( DISTINCT sbca.attr_name, ':', sav.attr_value ORDER BY tosaj.onlinestore_single_attr_join_id ) AS attrText,
            IFNULL(GROUP_CONCAT( DISTINCT ts.warehouse_id, ':',ts.physical_inventory ORDER BY tw.warehouse_type DESC),'')                               AS widAndStock,
            tosp.dealer_product_join_id                                                                                 AS dealerProductJoinId,
            tosp.product_id                                                                                             AS productId,
            tosp.single_product_id                                                                                      AS singleProductId,
            tosp.onlinestore_single_product_inner_id                                                                    AS onlineStoreSingleProductId,
            tosp.onlinestore_single_product_outer_id                                                                    AS onlineStoreSingleProductOutId,
            ts.warehouse_id                                                                                             AS warehouseId,
            IFNULL(ts.physical_inventory,0)                                                                             AS stockNum
        FROM
            tenant_onlinestore_single_product tosp
            LEFT JOIN tenant_stock ts ON ts.single_product_id = tosp.single_product_id AND ts.is_del = 0
            LEFT JOIN tenant_self_pick_up_site_join tspusj ON tspusj.shipper_id = ts.warehouse_id AND tspusj.is_del = 0
            LEFT JOIN tenant_warehouse tw ON tw.warehouse_inner_id = ts.warehouse_id AND tw.is_del = 0
            LEFT JOIN tenant_store tss ON tss.store_inner_id = tw.warehouse_store_id
            LEFT JOIN tenant_onlinestore_single_attr_join tosaj ON tosaj.onlinestore_single_product_id = tosp.onlinestore_single_product_inner_id
            LEFT JOIN sys_backend_category_attr sbca ON sbca.cate_attr_inner_id = tosaj.attr_id
            LEFT JOIN sys_attr_value sav ON sav.attr_value_id = tosaj.attr_value_id
        WHERE
            tosp.is_del = 0
            AND tosp.is_enable = 1
            AND ( ( tw.warehouse_type = 1 AND tss.store_status = 0 ) OR tw.warehouse_type = 0 )
             
             
        GROUP BY
            tosp.single_product_id","storesys_23wzoeqkdn","13d28dfd1c7e81b29c9513328b45befd","172.17.0.25","39.152","0","31260528","5884"
"2023-10-28 21:20:36","SELECT
            GROUP_CONCAT( DISTINCT sbca.attr_name, ':', sav.attr_value ORDER BY tosaj.onlinestore_single_attr_join_id ) AS attrText,
            IFNULL(GROUP_CONCAT( DISTINCT ts.warehouse_id, ':',ts.physical_inventory ORDER BY tw.warehouse_type DESC),'')                               AS widAndStock,
            tosp.dealer_product_join_id                                                                                 AS dealerProductJoinId,
            tosp.product_id                                                                                             AS productId,
            tosp.single_product_id                                                                                      AS singleProductId,
            tosp.onlinestore_single_product_inner_id                                                                    AS onlineStoreSingleProductId,
            tosp.onlinestore_single_product_outer_id                                                                    AS onlineStoreSingleProductOutId,
            ts.warehouse_id                                                                                             AS warehouseId,
            IFNULL(ts.physical_inventory,0)                                                                             AS stockNum
        FROM
            tenant_onlinestore_single_product tosp
            LEFT JOIN tenant_stock ts ON ts.single_product_id = tosp.single_product_id AND ts.is_del = 0
            LEFT JOIN tenant_self_pick_up_site_join tspusj ON tspusj.shipper_id = ts.warehouse_id AND tspusj.is_del = 0
            LEFT JOIN tenant_warehouse tw ON tw.warehouse_inner_id = ts.warehouse_id AND tw.is_del = 0
            LEFT JOIN tenant_store tss ON tss.store_inner_id = tw.warehouse_store_id
            LEFT JOIN tenant_onlinestore_single_attr_join tosaj ON tosaj.onlinestore_single_product_id = tosp.onlinestore_single_product_inner_id
            LEFT JOIN sys_backend_category_attr sbca ON sbca.cate_attr_inner_id = tosaj.attr_id
            LEFT JOIN sys_attr_value sav ON sav.attr_value_id = tosaj.attr_value_id
        WHERE
            tosp.is_del = 0
            AND tosp.is_enable = 1
            AND ( ( tw.warehouse_type = 1 AND tss.store_status = 0 ) OR tw.warehouse_type = 0 )
             
             
        GROUP BY
            tosp.single_product_id","storesys_23wzoeqkdn","13d28dfd1c7e81b29c9513328b45befd","172.17.0.9","38.45","0","31260528","5884"
"2023-10-28 21:17:06","SELECT
            GROUP_CONCAT( DISTINCT sbca.attr_name, ':', sav.attr_value ORDER BY tosaj.onlinestore_single_attr_join_id ) AS attrText,
            IFNULL(GROUP_CONCAT( DISTINCT ts.warehouse_id, ':',ts.physical_inventory ORDER BY tw.warehouse_type DESC),'')                               AS widAndStock,
            tosp.dealer_product_join_id                                                                                 AS dealerProductJoinId,
            tosp.product_id                                                                                             AS productId,
            tosp.single_product_id                                                                                      AS singleProductId,
            tosp.onlinestore_single_product_inner_id                                                                    AS onlineStoreSingleProductId,
            tosp.onlinestore_single_product_outer_id                                                                    AS onlineStoreSingleProductOutId,
            ts.warehouse_id                                                                                             AS warehouseId,
            IFNULL(ts.physical_inventory,0)                                                                             AS stockNum
        FROM
            tenant_onlinestore_single_product tosp
            LEFT JOIN tenant_stock ts ON ts.single_product_id = tosp.single_product_id AND ts.is_del = 0
            LEFT JOIN tenant_self_pick_up_site_join tspusj ON tspusj.shipper_id = ts.warehouse_id AND tspusj.is_del = 0
            LEFT JOIN tenant_warehouse tw ON tw.warehouse_inner_id = ts.warehouse_id AND tw.is_del = 0
            LEFT JOIN tenant_store tss ON tss.store_inner_id = tw.warehouse_store_id
            LEFT JOIN tenant_onlinestore_single_attr_join tosaj ON tosaj.onlinestore_single_product_id = tosp.onlinestore_single_product_inner_id
            LEFT JOIN sys_backend_category_attr sbca ON sbca.cate_attr_inner_id = tosaj.attr_id
            LEFT JOIN sys_attr_value sav ON sav.attr_value_id = tosaj.attr_value_id
        WHERE
            tosp.is_del = 0
            AND tosp.is_enable = 1
            AND ( ( tw.warehouse_type = 1 AND tss.store_status = 0 ) OR tw.warehouse_type = 0 )
             
             
        GROUP BY
            tosp.single_product_id","storesys_23wzoeqkdn","13d28dfd1c7e81b29c9513328b45befd","172.17.0.11","38.403","0","31260528","5884"
"2023-10-28 21:17:42","SELECT
            GROUP_CONCAT( DISTINCT sbca.attr_name, ':', sav.attr_value ORDER BY tosaj.onlinestore_single_attr_join_id ) AS attrText,
            IFNULL(GROUP_CONCAT( DISTINCT ts.warehouse_id, ':',ts.physical_inventory ORDER BY tw.warehouse_type DESC),'')                               AS widAndStock,
            tosp.dealer_product_join_id                                                                                 AS dealerProductJoinId,
            tosp.product_id                                                                                             AS productId,
            tosp.single_product_id                                                                                      AS singleProductId,
            tosp.onlinestore_single_product_inner_id                                                                    AS onlineStoreSingleProductId,
            tosp.onlinestore_single_product_outer_id                                                                    AS onlineStoreSingleProductOutId,
            ts.warehouse_id                                                                                             AS warehouseId,
            IFNULL(ts.physical_inventory,0)                                                                             AS stockNum
        FROM
            tenant_onlinestore_single_product tosp
            LEFT JOIN tenant_stock ts ON ts.single_product_id = tosp.single_product_id AND ts.is_del = 0
            LEFT JOIN tenant_self_pick_up_site_join tspusj ON tspusj.shipper_id = ts.warehouse_id AND tspusj.is_del = 0
            LEFT JOIN tenant_warehouse tw ON tw.warehouse_inner_id = ts.warehouse_id AND tw.is_del = 0
            LEFT JOIN tenant_store tss ON tss.store_inner_id = tw.warehouse_store_id
            LEFT JOIN tenant_onlinestore_single_attr_join tosaj ON tosaj.onlinestore_single_product_id = tosp.onlinestore_single_product_inner_id
            LEFT JOIN sys_backend_category_attr sbca ON sbca.cate_attr_inner_id = tosaj.attr_id
            LEFT JOIN sys_attr_value sav ON sav.attr_value_id = tosaj.attr_value_id
        WHERE
            tosp.is_del = 0
            AND tosp.is_enable = 1
            AND ( ( tw.warehouse_type = 1 AND tss.store_status = 0 ) OR tw.warehouse_type = 0 )
             
             
        GROUP BY
            tosp.single_product_id","storesys_23wzoeqkdn","13d28dfd1c7e81b29c9513328b45befd","172.17.0.25","38.192","0","31260528","5884"
"2023-10-27 11:35:59","SELECT
            GROUP_CONCAT( DISTINCT sbca.attr_name, ':', sav.attr_value ORDER BY tosaj.onlinestore_single_attr_join_id ) AS attrText,
            IFNULL(GROUP_CONCAT( DISTINCT ts.warehouse_id, ':',ts.physical_inventory ORDER BY tw.warehouse_type DESC),'')                               AS widAndStock,
            tosp.dealer_product_join_id                                                                                 AS dealerProductJoinId,
            tosp.product_id                                                                                             AS productId,
            tosp.single_product_id                                                                                      AS singleProductId,
            tosp.onlinestore_single_product_inner_id                                                                    AS onlineStoreSingleProductId,
            tosp.onlinestore_single_product_outer_id                                                                    AS onlineStoreSingleProductOutId,
            ts.warehouse_id                                                                                             AS warehouseId,
            IFNULL(ts.physical_inventory,0)                                                                             AS stockNum
        FROM
            tenant_onlinestore_single_product tosp
            LEFT JOIN tenant_stock ts ON ts.single_product_id = tosp.single_product_id AND ts.is_del = 0
            LEFT JOIN tenant_self_pick_up_site_join tspusj ON tspusj.shipper_id = ts.warehouse_id AND tspusj.is_del = 0
            LEFT JOIN tenant_warehouse tw ON tw.warehouse_inner_id = ts.warehouse_id AND tw.is_del = 0
            LEFT JOIN tenant_store tss ON tss.store_inner_id = tw.warehouse_store_id
            LEFT JOIN tenant_onlinestore_single_attr_join tosaj ON tosaj.onlinestore_single_product_id = tosp.onlinestore_single_product_inner_id
            LEFT JOIN sys_backend_category_attr sbca ON sbca.cate_attr_inner_id = tosaj.attr_id
            LEFT JOIN sys_attr_value sav ON sav.attr_value_id = tosaj.attr_value_id
        WHERE
            tosp.is_del = 0
            AND tosp.is_enable = 1
            AND ( ( tw.warehouse_type = 1 AND tss.store_status = 0 ) OR tw.warehouse_type = 0 )
             
             
        GROUP BY
            tosp.single_product_id","storesys_23wzoeqkdn","13d28dfd1c7e81b29c9513328b45befd","172.17.0.17","38.102","0","30939358","5819"
"2023-10-28 20:44:19","SELECT
            GROUP_CONCAT( DISTINCT sbca.attr_name, ':', sav.attr_value ORDER BY tosaj.onlinestore_single_attr_join_id ) AS attrText,
            IFNULL(GROUP_CONCAT( DISTINCT ts.warehouse_id, ':',ts.physical_inventory ORDER BY tw.warehouse_type DESC),'')                               AS widAndStock,
            tosp.dealer_product_join_id                                                                                 AS dealerProductJoinId,
            tosp.product_id                                                                                             AS productId,
            tosp.single_product_id                                                                                      AS singleProductId,
            tosp.onlinestore_single_product_inner_id                                                                    AS onlineStoreSingleProductId,
            tosp.onlinestore_single_product_outer_id                                                                    AS onlineStoreSingleProductOutId,
            ts.warehouse_id                                                                                             AS warehouseId,
            IFNULL(ts.physical_inventory,0)                                                                             AS stockNum
        FROM
            tenant_onlinestore_single_product tosp
            LEFT JOIN tenant_stock ts ON ts.single_product_id = tosp.single_product_id AND ts.is_del = 0
            LEFT JOIN tenant_self_pick_up_site_join tspusj ON tspusj.shipper_id = ts.warehouse_id AND tspusj.is_del = 0
            LEFT JOIN tenant_warehouse tw ON tw.warehouse_inner_id = ts.warehouse_id AND tw.is_del = 0
            LEFT JOIN tenant_store tss ON tss.store_inner_id = tw.warehouse_store_id
            LEFT JOIN tenant_onlinestore_single_attr_join tosaj ON tosaj.onlinestore_single_product_id = tosp.onlinestore_single_product_inner_id
            LEFT JOIN sys_backend_category_attr sbca ON sbca.cate_attr_inner_id = tosaj.attr_id
            LEFT JOIN sys_attr_value sav ON sav.attr_value_id = tosaj.attr_value_id
        WHERE
            tosp.is_del = 0
            AND tosp.is_enable = 1
            AND ( ( tw.warehouse_type = 1 AND tss.store_status = 0 ) OR tw.warehouse_type = 0 )
             
             
        GROUP BY
            tosp.single_product_id","storesys_23wzoeqkdn","13d28dfd1c7e81b29c9513328b45befd","172.17.0.17","37.709","0","31260499","5884"
"2023-10-28 20:45:12","SELECT
            GROUP_CONCAT( DISTINCT sbca.attr_name, ':', sav.attr_value ORDER BY tosaj.onlinestore_single_attr_join_id ) AS attrText,
            IFNULL(GROUP_CONCAT( DISTINCT ts.warehouse_id, ':',ts.physical_inventory ORDER BY tw.warehouse_type DESC),'')                               AS widAndStock,
            tosp.dealer_product_join_id                                                                                 AS dealerProductJoinId,
            tosp.product_id                                                                                             AS productId,
            tosp.single_product_id                                                                                      AS singleProductId,
            tosp.onlinestore_single_product_inner_id                                                                    AS onlineStoreSingleProductId,
            tosp.onlinestore_single_product_outer_id                                                                    AS onlineStoreSingleProductOutId,
            ts.warehouse_id                                                                                             AS warehouseId,
            IFNULL(ts.physical_inventory,0)                                                                             AS stockNum
        FROM
            tenant_onlinestore_single_product tosp
            LEFT JOIN tenant_stock ts ON ts.single_product_id = tosp.single_product_id AND ts.is_del = 0
            LEFT JOIN tenant_self_pick_up_site_join tspusj ON tspusj.shipper_id = ts.warehouse_id AND tspusj.is_del = 0
            LEFT JOIN tenant_warehouse tw ON tw.warehouse_inner_id = ts.warehouse_id AND tw.is_del = 0
            LEFT JOIN tenant_store tss ON tss.store_inner_id = tw.warehouse_store_id
            LEFT JOIN tenant_onlinestore_single_attr_join tosaj ON tosaj.onlinestore_single_product_id = tosp.onlinestore_single_product_inner_id
            LEFT JOIN sys_backend_category_attr sbca ON sbca.cate_attr_inner_id = tosaj.attr_id
            LEFT JOIN sys_attr_value sav ON sav.attr_value_id = tosaj.attr_value_id
        WHERE
            tosp.is_del = 0
            AND tosp.is_enable = 1
            AND ( ( tw.warehouse_type = 1 AND tss.store_status = 0 ) OR tw.warehouse_type = 0 )
             
             
        GROUP BY
            tosp.single_product_id","storesys_23wzoeqkdn","13d28dfd1c7e81b29c9513328b45befd","172.17.0.2","37.59","0","31260499","5884"
"2023-10-27 10:13:53","SELECT
            tdpj.dealer_product_join_id,
            tdpj.dealer_product_join_outer_id,
            tdpj.dealer_product_name,
            tdpj.main_cover,
            IFNULL( topd.count, 0 ) AS count,
            stock.physical_inventory AS stock
        FROM
            tenant_flash_sales tfs
            LEFT JOIN tenant_product_marketing_activity_join tpmaj ON tfs.marketing_activity_id = tpmaj.marketing_activity_id
            LEFT JOIN tenant_dealer_product_join tdpj ON tpmaj.dealer_product_join_id = tdpj.dealer_product_join_id
            LEFT JOIN tenant_product_onsale_onlinestore tpoo ON tdpj.dealer_product_join_id = tpoo.dealer_product_join_id
            LEFT JOIN (
                SELECT
                    topd.dealer_product_join_id,
                    COUNT( topd.dealer_product_join_id ) AS count
                FROM
                    tenant_order tor
                    LEFT JOIN tenant_order_product_detail topd ON tor.order_inner_id = topd.order_id
                    AND topd.is_del = 0
                WHERE
                    tor.is_del = 0
                    AND tor.order_status != 6
                GROUP BY
                    topd.dealer_product_join_id
            ) topd ON tpmaj.dealer_product_join_id = topd.dealer_product_join_id
		    LEFT JOIN (
		    		SELECT
		    			tdpj.dealer_product_join_id,
		    			SUM( ts.physical_inventory ) AS physical_inventory
		    		FROM
		    			tenant_dealer_product_join tdpj
		    			LEFT JOIN tenant_onlinestore_single_product tosp ON tdpj.dealer_product_join_id = tosp.dealer_product_join_id
		    				AND tosp.is_del = 0
		    			LEFT JOIN tenant_stock ts ON tosp.single_product_id = ts.single_product_id
		    		WHERE
		    			tdpj.is_del = 0
		    			AND	(
							(
								tdpj.has_express_delivery = 1
								AND ts.warehouse_id IN (
									SELECT
									tss.warehouse_id
									FROM
									tenant_store ts
									LEFT JOIN tenant_store_channel tsc ON ts.store_inner_id = tsc.store_id
									LEFT JOIN tenant_stock_share tss ON tsc.store_channel_id = tss.store_channel_id
									WHERE
									ts.is_del = 0
									AND tsc.is_del = 0
									AND tss.is_del = 0
                                     
                                        AND ts.store_inner_id = -1
                                     
									AND tsc.store_channel_type = 0
								)
							)
						OR (
								tdpj.has_pick_up = 1
								AND tdpj.has_express_delivery = 1
								AND ts.warehouse_id IN (
									SELECT
										tss.warehouse_id
									FROM
										tenant_store ts
										LEFT JOIN tenant_store_channel tsc ON ts.store_inner_id = tsc.store_id
										LEFT JOIN tenant_stock_share tss ON tsc.store_channel_id = tss.store_channel_id
									WHERE
										ts.is_del = 0
										AND tsc.is_del = 0
										AND tss.is_del = 0
                                         
                                                AND ts.store_inner_id = -1
                                             
										AND tsc.store_channel_type = 0
									UNION
									SELECT
										tspusj.shipper_id AS warehouse_id
									FROM
										tenant_self_pick_up_site tspus
										LEFT JOIN tenant_self_pick_up_site_join tspusj ON tspus.self_pick_up_site_id = tspusj.self_pick_up_site_id
									WHERE
										tspus.is_del = 0
										AND tspus.pick_up_status = 1
										AND tspusj.is_del = 0
								)
							)
						OR (
								tdpj.has_pick_up = 1
								AND ts.warehouse_id IN (
									SELECT
										tspusj.shipper_id AS warehouse_id
									FROM
										tenant_self_pick_up_site tspus
										LEFT JOIN tenant_self_pick_up_site_join tspusj ON tspus.self_pick_up_site_id = tspusj.self_pick_up_site_id
									WHERE
										tspus.is_del = 0
										AND tspus.pick_up_status = 1
										AND tspusj.is_del = 0
								)
							)
						)
		    		AND ts.physical_inventory IS NOT NULL
		    		GROUP BY
		    		tosp.dealer_product_join_id
		    ) stock ON tpmaj.dealer_product_join_id = stock.dealer_product_join_id
        WHERE
            tfs.is_del = 0
            AND tfs.flash_sales_id = 24
            AND tdpj.is_del = 0
            AND tdpj.is_complete = 1
             
             
             
             
        GROUP BY
            tdpj.dealer_product_join_id
        ORDER BY
             
            tdpj.dealer_product_join_id LIMIT 40,20","storesys_23wzoeqkdn","13d28dfd1c7e81b29c9513328b45befd","172.17.0.17","10.91","0","7655380","20"
"2023-10-27 10:11:07","SELECT COUNT(1) FROM ( SELECT tdpj.dealer_product_join_id, tdpj.dealer_product_join_outer_id, tdpj.dealer_product_name, tdpj.main_cover, IFNULL(topd.count, 0) AS count, stock.physical_inventory AS stock FROM tenant_flash_sales tfs LEFT JOIN tenant_product_marketing_activity_join tpmaj ON tfs.marketing_activity_id = tpmaj.marketing_activity_id LEFT JOIN tenant_dealer_product_join tdpj ON tpmaj.dealer_product_join_id = tdpj.dealer_product_join_id LEFT JOIN tenant_product_onsale_onlinestore tpoo ON tdpj.dealer_product_join_id = tpoo.dealer_product_join_id LEFT JOIN (SELECT topd.dealer_product_join_id, COUNT(topd.dealer_product_join_id) AS count FROM tenant_order tor LEFT JOIN tenant_order_product_detail topd ON tor.order_inner_id = topd.order_id AND topd.is_del = 0 WHERE tor.is_del = 0 AND tor.order_status != 6 GROUP BY topd.dealer_product_join_id) topd ON tpmaj.dealer_product_join_id = topd.dealer_product_join_id LEFT JOIN (SELECT tdpj.dealer_product_join_id, SUM(ts.physical_inventory) AS physical_inventory FROM tenant_dealer_product_join tdpj LEFT JOIN tenant_onlinestore_single_product tosp ON tdpj.dealer_product_join_id = tosp.dealer_product_join_id AND tosp.is_del = 0 LEFT JOIN tenant_stock ts ON tosp.single_product_id = ts.single_product_id WHERE tdpj.is_del = 0 AND ((tdpj.has_express_delivery = 1 AND ts.warehouse_id IN (SELECT tss.warehouse_id FROM tenant_store ts LEFT JOIN tenant_store_channel tsc ON ts.store_inner_id = tsc.store_id LEFT JOIN tenant_stock_share tss ON tsc.store_channel_id = tss.store_channel_id WHERE ts.is_del = 0 AND tsc.is_del = 0 AND tss.is_del = 0 AND ts.store_inner_id = -1 AND tsc.store_channel_type = 0)) OR (tdpj.has_pick_up = 1 AND tdpj.has_express_delivery = 1 AND ts.warehouse_id IN (SELECT tss.warehouse_id FROM tenant_store ts LEFT JOIN tenant_store_channel tsc ON ts.store_inner_id = tsc.store_id LEFT JOIN tenant_stock_share tss ON tsc.store_channel_id = tss.store_channel_id WHERE ts.is_del = 0 AND tsc.is_del = 0 AND tss.is_del = 0 AND ts.store_inner_id = -1 AND tsc.store_channel_type = 0 UNION SELECT tspusj.shipper_id AS warehouse_id FROM tenant_self_pick_up_site tspus LEFT JOIN tenant_self_pick_up_site_join tspusj ON tspus.self_pick_up_site_id = tspusj.self_pick_up_site_id WHERE tspus.is_del = 0 AND tspus.pick_up_status = 1 AND tspusj.is_del = 0)) OR (tdpj.has_pick_up = 1 AND ts.warehouse_id IN (SELECT tspusj.shipper_id AS warehouse_id FROM tenant_self_pick_up_site tspus LEFT JOIN tenant_self_pick_up_site_join tspusj ON tspus.self_pick_up_site_id = tspusj.self_pick_up_site_id WHERE tspus.is_del = 0 AND tspus.pick_up_status = 1 AND tspusj.is_del = 0))) AND ts.physical_inventory IS NOT NULL GROUP BY tosp.dealer_product_join_id) stock ON tpmaj.dealer_product_join_id = stock.dealer_product_join_id WHERE tfs.is_del = 0 AND tfs.flash_sales_id = 24 AND tdpj.is_del = 0 AND tdpj.is_complete = 1 GROUP BY tdpj.dealer_product_join_id ORDER BY tdpj.dealer_product_join_id ) TOTAL","storesys_23wzoeqkdn","13d28dfd1c7e81b29c9513328b45befd","172.17.0.2","10.616","0.001","7655468","1"
"2023-10-27 10:13:42","SELECT COUNT(1) FROM ( SELECT tdpj.dealer_product_join_id, tdpj.dealer_product_join_outer_id, tdpj.dealer_product_name, tdpj.main_cover, IFNULL(topd.count, 0) AS count, stock.physical_inventory AS stock FROM tenant_flash_sales tfs LEFT JOIN tenant_product_marketing_activity_join tpmaj ON tfs.marketing_activity_id = tpmaj.marketing_activity_id LEFT JOIN tenant_dealer_product_join tdpj ON tpmaj.dealer_product_join_id = tdpj.dealer_product_join_id LEFT JOIN tenant_product_onsale_onlinestore tpoo ON tdpj.dealer_product_join_id = tpoo.dealer_product_join_id LEFT JOIN (SELECT topd.dealer_product_join_id, COUNT(topd.dealer_product_join_id) AS count FROM tenant_order tor LEFT JOIN tenant_order_product_detail topd ON tor.order_inner_id = topd.order_id AND topd.is_del = 0 WHERE tor.is_del = 0 AND tor.order_status != 6 GROUP BY topd.dealer_product_join_id) topd ON tpmaj.dealer_product_join_id = topd.dealer_product_join_id LEFT JOIN (SELECT tdpj.dealer_product_join_id, SUM(ts.physical_inventory) AS physical_inventory FROM tenant_dealer_product_join tdpj LEFT JOIN tenant_onlinestore_single_product tosp ON tdpj.dealer_product_join_id = tosp.dealer_product_join_id AND tosp.is_del = 0 LEFT JOIN tenant_stock ts ON tosp.single_product_id = ts.single_product_id WHERE tdpj.is_del = 0 AND ((tdpj.has_express_delivery = 1 AND ts.warehouse_id IN (SELECT tss.warehouse_id FROM tenant_store ts LEFT JOIN tenant_store_channel tsc ON ts.store_inner_id = tsc.store_id LEFT JOIN tenant_stock_share tss ON tsc.store_channel_id = tss.store_channel_id WHERE ts.is_del = 0 AND tsc.is_del = 0 AND tss.is_del = 0 AND ts.store_inner_id = -1 AND tsc.store_channel_type = 0)) OR (tdpj.has_pick_up = 1 AND tdpj.has_express_delivery = 1 AND ts.warehouse_id IN (SELECT tss.warehouse_id FROM tenant_store ts LEFT JOIN tenant_store_channel tsc ON ts.store_inner_id = tsc.store_id LEFT JOIN tenant_stock_share tss ON tsc.store_channel_id = tss.store_channel_id WHERE ts.is_del = 0 AND tsc.is_del = 0 AND tss.is_del = 0 AND ts.store_inner_id = -1 AND tsc.store_channel_type = 0 UNION SELECT tspusj.shipper_id AS warehouse_id FROM tenant_self_pick_up_site tspus LEFT JOIN tenant_self_pick_up_site_join tspusj ON tspus.self_pick_up_site_id = tspusj.self_pick_up_site_id WHERE tspus.is_del = 0 AND tspus.pick_up_status = 1 AND tspusj.is_del = 0)) OR (tdpj.has_pick_up = 1 AND ts.warehouse_id IN (SELECT tspusj.shipper_id AS warehouse_id FROM tenant_self_pick_up_site tspus LEFT JOIN tenant_self_pick_up_site_join tspusj ON tspus.self_pick_up_site_id = tspusj.self_pick_up_site_id WHERE tspus.is_del = 0 AND tspus.pick_up_status = 1 AND tspusj.is_del = 0))) AND ts.physical_inventory IS NOT NULL GROUP BY tosp.dealer_product_join_id) stock ON tpmaj.dealer_product_join_id = stock.dealer_product_join_id WHERE tfs.is_del = 0 AND tfs.flash_sales_id = 24 AND tdpj.is_del = 0 AND tdpj.is_complete = 1 GROUP BY tdpj.dealer_product_join_id ORDER BY tdpj.dealer_product_join_id ) TOTAL","storesys_23wzoeqkdn","13d28dfd1c7e81b29c9513328b45befd","172.17.0.17","10.484","0","7655468","1"
